domain,core_competency,competency,skill
Software Engineering & System Architecture,Backend & API Engineering,API & Service Design,REST
Software Engineering & System Architecture,Backend & API Engineering,API & Service Design,Remote Procedure Call (RPC)
Software Engineering & System Architecture,Backend & API Engineering,API & Service Design,API Gateway Management
Software Engineering & System Architecture,Backend & API Engineering,API & Service Design,GraphQL
Software Engineering & System Architecture,Backend & API Engineering,Architecture Patterns,Microservices
Software Engineering & System Architecture,Backend & API Engineering,Architecture Patterns,Event-Driven Architecture
Software Engineering & System Architecture,Backend & API Engineering,Architecture Patterns,Service-Oriented Architecture (SOA)
Software Engineering & System Architecture,Backend & API Engineering,Architecture Patterns,Serverless Architecture
Software Engineering & System Architecture,Backend & API Engineering,Programming Paradigms,Object-Oriented Programming (OOP)
Software Engineering & System Architecture,Backend & API Engineering,Programming Paradigms,Functional Programming
Software Engineering & System Architecture,Backend & API Engineering,Programming Paradigms,Asynchronous Programming
Software Engineering & System Architecture,Backend & API Engineering,Programming Paradigms,Parallel Computing
Software Engineering & System Architecture,Backend & API Engineering,Backend Concepts,Memory Management
Software Engineering & System Architecture,Backend & API Engineering,Backend Concepts,Threading
Software Engineering & System Architecture,Backend & API Engineering,Backend Concepts,Concurrency Control
Software Engineering & System Architecture,Backend & API Engineering,Backend Concepts,Backend Engineering
Software Engineering & System Architecture,Frontend & Client-Side Development,Web Development,Front-End Development
Software Engineering & System Architecture,Frontend & Client-Side Development,Web Development,State Management
Software Engineering & System Architecture,Frontend & Client-Side Development,Web Development,Responsive & Mobile-First Design
Software Engineering & System Architecture,Frontend & Client-Side Development,Advanced Web Patterns,Progressive Web Apps (PWAs)
Software Engineering & System Architecture,Frontend & Client-Side Development,Advanced Web Patterns,Micro Frontends
Software Engineering & System Architecture,Frontend & Client-Side Development,Advanced Web Patterns,Real-Time Communication (WebSockets)
Software Engineering & System Architecture,Frontend & Client-Side Development,Advanced Web Patterns,Cross-Platform Development
Software Engineering & System Architecture,Frontend & Client-Side Development,Mobile & Game,Native Mobile App Development
Software Engineering & System Architecture,Frontend & Client-Side Development,Mobile & Game,Game Development
Software Engineering & System Architecture,System Design & Architecture,System Fundamentals,Distributed Systems
Software Engineering & System Architecture,System Design & Architecture,System Fundamentals,System Design
Software Engineering & System Architecture,System Design & Architecture,System Fundamentals,Domain-Driven Design
Software Engineering & System Architecture,System Design & Architecture,Reliability Engineering,Fault Tolerance
Software Engineering & System Architecture,System Design & Architecture,Reliability Engineering,Resilience
Software Engineering & System Architecture,System Design & Architecture,Reliability Engineering,High Availability
Software Engineering & System Architecture,System Design & Architecture,Reliability Engineering,Scalability
Software Engineering & System Architecture,System Design & Architecture,Reliability Engineering,Circuit Breaking
Software Engineering & System Architecture,System Design & Architecture,Data Structures & Logic,Complexity Analysis
Software Engineering & System Architecture,System Design & Architecture,Data Structures & Logic,Algorithms
Software Engineering & System Architecture,System Design & Architecture,Data Structures & Logic,Graph Theory
Software Engineering & System Architecture,System Design & Architecture,Data Structures & Logic,Formal Methods
Software Engineering & System Architecture,Code Quality & Engineering Practices,Development Methodologies,Test-Driven Development (TDD)
Software Engineering & System Architecture,Code Quality & Engineering Practices,Development Methodologies,Behavior-Driven Development (BDD)
Software Engineering & System Architecture,Code Quality & Engineering Practices,Development Methodologies,Hypothesis-Driven Development
Software Engineering & System Architecture,Code Quality & Engineering Practices,Code Lifecycle,Version Control (Git Operations)
Software Engineering & System Architecture,Code Quality & Engineering Practices,Code Lifecycle,Branching/Merging Strategies
Software Engineering & System Architecture,Code Quality & Engineering Practices,Code Lifecycle,Refactoring
Software Engineering & System Architecture,Code Quality & Engineering Practices,Code Lifecycle,Code Review
Software Engineering & System Architecture,Code Quality & Engineering Practices,Code Lifecycle,Debugging
Data Engineering & Analytics,Data Architecture & Engineering,Data Pipelines,ETL/ELT Processes
Data Engineering & Analytics,Data Architecture & Engineering,Data Pipelines,Data Ingestion
Data Engineering & Analytics,Data Architecture & Engineering,Data Pipelines,Batch Processing
Data Engineering & Analytics,Data Architecture & Engineering,Data Pipelines,Stream Processing
Data Engineering & Analytics,Data Architecture & Engineering,Data Pipelines,Data Orchestration
Data Engineering & Analytics,Data Architecture & Engineering,Storage & Infrastructure,Data Warehousing
Data Engineering & Analytics,Data Architecture & Engineering,Storage & Infrastructure,Data Lake Management
Data Engineering & Analytics,Data Architecture & Engineering,Storage & Infrastructure,Schema Design
Data Engineering & Analytics,Data Architecture & Engineering,Storage & Infrastructure,Data Modeling
Data Engineering & Analytics,Data Architecture & Engineering,Database Administration,SQL/NoSQL Management
Data Engineering & Analytics,Data Architecture & Engineering,Database Administration,Query Optimization
Data Engineering & Analytics,Data Architecture & Engineering,Database Administration,Database Sharding/Replication
Data Engineering & Analytics,Data Architecture & Engineering,Database Administration,Transaction Management (ACID/BASE)
Data Engineering & Analytics,Data Analysis & Business Intelligence,Data Processing,Data Cleaning
Data Engineering & Analytics,Data Analysis & Business Intelligence,Data Processing,Data Wrangling
Data Engineering & Analytics,Data Analysis & Business Intelligence,Data Processing,Data Mining
Data Engineering & Analytics,Data Analysis & Business Intelligence,Data Processing,Feature Extraction
Data Engineering & Analytics,Data Analysis & Business Intelligence,Analytics & Reporting,Business Intelligence
Data Engineering & Analytics,Data Analysis & Business Intelligence,Analytics & Reporting,Data Visualization
Data Engineering & Analytics,Data Analysis & Business Intelligence,Analytics & Reporting,Statistical/Numerical Analysis
Data Engineering & Analytics,Data Analysis & Business Intelligence,Analytics & Reporting,Cohort/Funnel Analysis
Data Engineering & Analytics,Data Governance & Quality,Governance Frameworks,Master Data Management
Data Engineering & Analytics,Data Governance & Quality,Governance Frameworks,Metadata Harvesting/Management
Data Engineering & Analytics,Data Governance & Quality,Governance Frameworks,Data Lineage & Cataloging
Data Engineering & Analytics,Data Governance & Quality,Data Privacy,Data Retention Policies
Data Engineering & Analytics,Data Governance & Quality,Data Privacy,Anonymization/Pseudo-anonymization
Data Engineering & Analytics,Data Governance & Quality,Data Privacy,Right to be Forgotten
Data Engineering & Analytics,Data Governance & Quality,Data Privacy,Data Masking
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Model Development,Predictive Modeling
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Model Development,Deep Learning
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Model Development,Neural Networks
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Model Development,Reinforcement Learning
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Training & Optimization,Model Evaluation
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Training & Optimization,Hyperparameter Tuning
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Training & Optimization,Dimensionality Reduction
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Training & Optimization,Distributed Training
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Training & Optimization,Transfer Learning
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Math Fundamentals,Linear Algebra
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Math Fundamentals,Calculus
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Math Fundamentals,Probability
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Math Fundamentals,Bayesian Inference
Artificial Intelligence & Machine Learning (AI/ML),Machine Learning & Modeling,Math Fundamentals,Optimization Algorithms
Artificial Intelligence & Machine Learning (AI/ML),Generative AI & Natural Language,GenAI Operations,Large Language Models (LLMs)
Artificial Intelligence & Machine Learning (AI/ML),Generative AI & Natural Language,GenAI Operations,Prompt Engineering
Artificial Intelligence & Machine Learning (AI/ML),Generative AI & Natural Language,GenAI Operations,Fine-Tuning Models
Artificial Intelligence & Machine Learning (AI/ML),Generative AI & Natural Language,GenAI Operations,Agentic Workflows
Artificial Intelligence & Machine Learning (AI/ML),Generative AI & Natural Language,Natural Language Processing (NLP),Natural Language Understanding/Generation
Artificial Intelligence & Machine Learning (AI/ML),Generative AI & Natural Language,Natural Language Processing (NLP),Speech-to-Text/Text-to-Speech
Artificial Intelligence & Machine Learning (AI/ML),Generative AI & Natural Language,Natural Language Processing (NLP),Sentiment Analysis
Artificial Intelligence & Machine Learning (AI/ML),Generative AI & Natural Language,Natural Language Processing (NLP),Entity Recognition
Artificial Intelligence & Machine Learning (AI/ML),Computer Vision & Specialized AI,Vision & Audio,Image Processing
Artificial Intelligence & Machine Learning (AI/ML),Computer Vision & Specialized AI,Vision & Audio,Object Detection/Tracking
Artificial Intelligence & Machine Learning (AI/ML),Computer Vision & Specialized AI,Vision & Audio,Computer Vision
Artificial Intelligence & Machine Learning (AI/ML),Computer Vision & Specialized AI,Vision & Audio,Audio/Signal Processing
Artificial Intelligence & Machine Learning (AI/ML),Computer Vision & Specialized AI,Applied AI,Recommendation Engines
Artificial Intelligence & Machine Learning (AI/ML),Computer Vision & Specialized AI,Applied AI,Anomaly Detection
Artificial Intelligence & Machine Learning (AI/ML),Computer Vision & Specialized AI,Applied AI,Semantic Web
Artificial Intelligence & Machine Learning (AI/ML),Computer Vision & Specialized AI,Applied AI,Knowledge Graphs
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,AI Infrastructure,Vector Databases
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,AI Infrastructure,Vector/Similarity Search
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,AI Infrastructure,Embedding Generation
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,Model Operations,Model Deployment
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,Model Operations,Model Monitoring
Artificial Intelligence & Machine Learning (AI/ML),AI Engineering & MLOps,Model Operations,Model Compression
